"mreference","class_field","subclass","event","eventnumberinyear","speciesscientific","speciescommon","datefound","datecertainty","latitudewgs84","longitudewgs84","sex","length","lengthuncertain","conditionfound","examinationlevel","Year","Source","DateFound","Month","Day"
"M1/04","Cetacean","Harbour porpoise","Single",1,"Phocoena phocoena","Harbour porpoise","2004-01-11","Exact",56.49520493,-2.711376429,"M",138,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-01-11,"01","11"
"M3/04","Cetacean","Harbour porpoise","Single",3,"Phocoena phocoena","Harbour porpoise","2004-01-14","Exact",55.98523331,-4.896630287,"U",100,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-01-14,"01","14"
"M8/04","Cetacean","Harbour porpoise","Single",8,"Phocoena phocoena","Harbour porpoise","2004-01-22","Exact",58.96169281,-2.881461859,"M",145,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-01-22,"01","22"
"M9/04","Cetacean","Harbour porpoise","Single",9,"Phocoena phocoena","Harbour porpoise","2004-01-25","Exact",55.68042755,-4.861312389,"M",104,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-01-25,"01","25"
"M12/04","Cetacean","Harbour porpoise","Single",12,"Phocoena phocoena","Harbour porpoise","2004-01-27","Exact",55.33475876,-4.842635632,"F",170,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-01-27,"01","27"
"M18/04","Cetacean","Harbour porpoise","Single",18,"Phocoena phocoena","Harbour porpoise","2004-02-01","Exact",55.84279633,-5.061769009,"U",150,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-02-01,"02","01"
"M20/04","Cetacean","Harbour porpoise","Single",20,"Phocoena phocoena","Harbour porpoise","2004-02-02","Exact",56.06284714,-6.250868797,"U",NA,TRUE,"unknown","not necropsied","2004","Modern",2004-02-02,"02","02"
"M25/04","Cetacean","Harbour porpoise","Single",25,"Phocoena phocoena","Harbour porpoise","2004-02-04","Exact",55.63129425,-6.21985054,"M",144,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-02-04,"02","04"
"M27/04","Cetacean","Harbour porpoise","Single",27,"Phocoena phocoena","Harbour porpoise","2004-02-06","Exact",57.22438049,-5.636134148,"M",125,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-02-06,"02","06"
"M29/04","Cetacean","Harbour porpoise","Single",29,"Phocoena phocoena","Harbour porpoise","2004-02-08","Exact",56.08524323,-5.542451859,"F",111,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-02-08,"02","08"
"M33/04","Cetacean","Harbour porpoise","Single",33,"Phocoena phocoena","Harbour porpoise","2004-02-14","Exact",55.65173721,-5.668553352,"F",121,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-02-14,"02","14"
"M35/04","Cetacean","Harbour porpoise","Single",35,"Phocoena phocoena","Harbour porpoise","2004-02-23","Exact",55.82580566,-5.022102356,"F",161,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-02-23,"02","23"
"M46/04","Cetacean","Harbour porpoise","Single",46,"Phocoena phocoena","Harbour porpoise","2004-02-28","Exact",55.98526764,-3.230917692,"U",100,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-02-28,"02","28"
"M39/04","Cetacean","Harbour porpoise","Single",39,"Phocoena phocoena","Harbour porpoise","2004-02-28","Exact",60.52460861,-1.178334951,"M",150,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-02-28,"02","28"
"M38/04","Cetacean","Harbour porpoise","Single",38,"Phocoena phocoena","Harbour porpoise","2004-02-29","Exact",57.68201828,-3.079939365,"M",134,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-02-29,"02","29"
"M45/04","Cetacean","Harbour porpoise","Single",45,"Phocoena phocoena","Harbour porpoise","2004-03-08","Exact",57.25724411,-2.034775972,"M",140,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-03-08,"03","08"
"M48/04","Cetacean","Harbour porpoise","Single",48,"Phocoena phocoena","Harbour porpoise","2004-03-09","Exact",55.98902893,-2.899211645,"F",121,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-03-09,"03","09"
"M51/04","Cetacean","Harbour porpoise","Single",51,"Phocoena phocoena","Harbour porpoise","2004-03-20","Exact",55.21014404,-4.904486656,"F",149,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-03-20,"03","20"
"M52/04","Cetacean","Harbour porpoise","Single",52,"Phocoena phocoena","Harbour porpoise","2004-03-23","Exact",57.71617889,-3.270632982,"M",138,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-03-23,"03","23"
"M55/04","Cetacean","Harbour porpoise","Single",55,"Phocoena phocoena","Harbour porpoise","2004-03-25","Exact",55.97451782,-2.4229877,"F",151,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-03-25,"03","25"
"M54/04","Cetacean","Harbour porpoise","Single",54,"Phocoena phocoena","Harbour porpoise","2004-03-25","Exact",57.14942932,-2.075985193,"F",108,FALSE,"advanced decomposition (code 4)","necropsied","2004","Modern",2004-03-25,"03","25"
"M66/04","Cetacean","Harbour porpoise","Single",66,"Phocoena phocoena","Harbour porpoise","2004-03-29","Exact",56.8149147,-5.119360924,"U",140,TRUE,"moderate decomposition (code 3)","not necropsied","2004","Modern",2004-03-29,"03","29"
"M68/04","Cetacean","Harbour porpoise","Single",68,"Phocoena phocoena","Harbour porpoise","2004-04-01","Exact",57.15661621,-2.077660322,"M",110,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-04-01,"04","01"
"M77/04","Cetacean","Harbour porpoise","Single",77,"Phocoena phocoena","Harbour porpoise","2004-04-03","Exact",56.67244339,-2.468303919,"F",142,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-04-03,"04","03"
"M69/04","Cetacean","Harbour porpoise","Single",69,"Phocoena phocoena","Harbour porpoise","2004-04-04","Exact",59.9960022,-1.223746061,"F",159,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-04-04,"04","04"
"M71/04","Cetacean","Harbour porpoise","Single",71,"Phocoena phocoena","Harbour porpoise","2004-04-05","Exact",57.1521225,-2.077656269,"M",110,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-04-05,"04","05"
"M73/04","Cetacean","Harbour porpoise","Single",73,"Phocoena phocoena","Harbour porpoise","2004-04-06","Exact",56.79236221,-2.333925247,"F",114,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-04-06,"04","06"
"M74/04","Cetacean","Harbour porpoise","Single",74,"Phocoena phocoena","Harbour porpoise","2004-04-07","Exact",56.74264908,-2.431576967,"M",115,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-04-07,"04","07"
"M76/04","Cetacean","Harbour porpoise","Single",76,"Phocoena phocoena","Harbour porpoise","2004-04-10","Exact",57.66672516,-2.511213064,"F",104,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-04-10,"04","10"
"M78/04","Cetacean","Harbour porpoise","Single",78,"Phocoena phocoena","Harbour porpoise","2004-04-12","Exact",56.2007637,-4.748390675,"U",NA,TRUE,"unknown","not necropsied","2004","Modern",2004-04-12,"04","12"
"M79/04","Cetacean","Harbour porpoise","Single",79,"Phocoena phocoena","Harbour porpoise","2004-04-14","Exact",57.38813019,-5.600740433,"F",104,FALSE,"advanced decomposition (code 4)","necropsied","2004","Modern",2004-04-14,"04","14"
"M82/04","Cetacean","Harbour porpoise","Single",82,"Phocoena phocoena","Harbour porpoise","2004-04-18","Exact",57.26564026,-5.791215897,"U",120,TRUE,"indeterminate (code 5)","not necropsied","2004","Modern",2004-04-18,"04","18"
"M81/04","Cetacean","Harbour porpoise","Single",81,"Phocoena phocoena","Harbour porpoise","2004-04-18","Exact",56.7633667,-2.41545105,"M",115,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-04-18,"04","18"
"M83/04","Cetacean","Harbour porpoise","Single",83,"Phocoena phocoena","Harbour porpoise","2004-04-18","Exact",57.26564026,-5.791215897,"U",120,TRUE,"indeterminate (code 5)","not necropsied","2004","Modern",2004-04-18,"04","18"
"M86/04","Cetacean","Harbour porpoise","Single",86,"Phocoena phocoena","Harbour porpoise","2004-04-22","Exact",55.94390869,-4.933574677,"F",114,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-04-22,"04","22"
"M85/04","Cetacean","Harbour porpoise","Single",85,"Phocoena phocoena","Harbour porpoise","2004-04-22","Exact",56.36695862,-2.819064617,"U",NA,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-04-22,"04","22"
"M88/04","Cetacean","Harbour porpoise","Single",88,"Phocoena phocoena","Harbour porpoise","2004-04-25","Exact",57.70362854,-4.136173248,"M",102,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-04-25,"04","25"
"M91/04","Cetacean","Harbour porpoise","Single",91,"Phocoena phocoena","Harbour porpoise","2004-05-01","Exact",57.14942932,-2.077640772,"M",106,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-05-01,"05","01"
"M93/04","Cetacean","Harbour porpoise","Single",93,"Phocoena phocoena","Harbour porpoise","2004-05-01","Exact",55.85356522,-5.062613487,"F",147,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-05-01,"05","01"
"M100/04","Cetacean","Harbour porpoise","Single",100,"Phocoena phocoena","Harbour porpoise","2004-05-07","Exact",56.01749802,-4.90064764,"M",125,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-05-07,"05","07"
"M99/04","Cetacean","Harbour porpoise","Single",99,"Phocoena phocoena","Harbour porpoise","2004-05-11","Exact",57.57844543,-4.100402355,"F",118,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-05-11,"05","11"
"M101/04","Cetacean","Harbour porpoise","Single",101,"Phocoena phocoena","Harbour porpoise","2004-05-14","Exact",57.58586121,-3.916804075,"F",126,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-05-14,"05","14"
"M103/04","Cetacean","Harbour porpoise","Single",103,"Phocoena phocoena","Harbour porpoise","2004-05-19","Exact",57.69942093,-3.489860058,"U",130,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-05-19,"05","19"
"M106/04","Cetacean","Harbour porpoise","Single",106,"Phocoena phocoena","Harbour porpoise","2004-05-26","Exact",57.71332932,-2.862669706,"U",140,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-05-26,"05","26"
"M110/04","Cetacean","Harbour porpoise","Single",110,"Phocoena phocoena","Harbour porpoise","2004-05-31","Exact",55.48338318,-4.62855196,"F",113,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-05-31,"05","31"
"M114/04","Cetacean","Harbour porpoise","Single",114,"Phocoena phocoena","Harbour porpoise","2004-06-01","Exact",56.19534302,-4.749615669,"F",128,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-06-01,"06","01"
"M116/04","Cetacean","Harbour porpoise","Single",116,"Phocoena phocoena","Harbour porpoise","2004-06-02","Exact",56.65435028,-2.500696659,"M",151,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-06-02,"06","02"
"M265/04","Cetacean","Harbour porpoise","Single",265,"Phocoena phocoena","Harbour porpoise","2004-06-03","Exact",58.95638275,-2.994325876,"U",NA,FALSE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-06-03,"06","03"
"M117/04","Cetacean","Harbour porpoise","Single",117,"Phocoena phocoena","Harbour porpoise","2004-06-03","Exact",57.70602798,-2.879273653,"U",140,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-06-03,"06","03"
"M120/04","Cetacean","Harbour porpoise","Single",120,"Phocoena phocoena","Harbour porpoise","2004-06-08","Exact",57.74845123,-3.918684959,"M",103,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-06-08,"06","08"
"M121/04","Cetacean","Harbour porpoise","Single",121,"Phocoena phocoena","Harbour porpoise","2004-06-14","Exact",55.45425034,-4.645591259,"U",70,TRUE,"Slight decomposition (code 2b)","not necropsied","2004","Modern",2004-06-14,"06","14"
"M122/04","Cetacean","Harbour porpoise","Single",122,"Phocoena phocoena","Harbour porpoise","2004-06-15","Exact",55.66039276,-6.262756824,"M",72,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-06-15,"06","15"
"M128/04","Cetacean","Harbour porpoise","Single",128,"Phocoena phocoena","Harbour porpoise","2004-06-22","Exact",55.98996353,-2.894423962,"M",80.5,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-06-22,"06","22"
"M127/04","Cetacean","Harbour porpoise","Single",127,"Phocoena phocoena","Harbour porpoise","2004-06-23","Exact",55.59149551,-5.151696205,"F",118,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-06-23,"06","23"
"M173/04","Cetacean","Harbour porpoise","Single",173,"Phocoena phocoena","Harbour porpoise","2004-06-30","Exact",55.77396774,-4.93514204,"M",75,TRUE,"unknown","not necropsied","2004","Modern",2004-06-30,"06","30"
"M174/04","Cetacean","Harbour porpoise","Single",174,"Phocoena phocoena","Harbour porpoise","2004-07-03","Exact",55.75078964,-4.927034378,"M",70,TRUE,"unknown","not necropsied","2004","Modern",2004-07-03,"07","03"
"M135/04","Cetacean","Harbour porpoise","Single",135,"Phocoena phocoena","Harbour porpoise","2004-07-05","Exact",56.17850876,-5.082005024,"F",122,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-07-05,"07","05"
"M141/04","Cetacean","Harbour porpoise","Single",141,"Phocoena phocoena","Harbour porpoise","2004-07-13","Exact",57.68442154,-2.74624753,"U",120,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-07-13,"07","13"
"M143/04","Cetacean","Harbour porpoise","Single",143,"Phocoena phocoena","Harbour porpoise","2004-07-13","Exact",55.78517151,-6.34662056,"U",90,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-07-13,"07","13"
"M146/04","Cetacean","Harbour porpoise","Single",146,"Phocoena phocoena","Harbour porpoise","2004-07-14","Exact",57.67269516,-2.33861804,"F",122,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-07-14,"07","14"
"M154/04","Cetacean","Harbour porpoise","Single",154,"Phocoena phocoena","Harbour porpoise","2004-07-21","Exact",58.61815262,-3.347989559,"U",100,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-07-21,"07","21"
"M152/04","Cetacean","Harbour porpoise","Single",152,"Phocoena phocoena","Harbour porpoise","2004-07-21","Exact",57.69315338,-4.008048058,"U",120,TRUE,"Slight decomposition (code 2b)","not necropsied","2004","Modern",2004-07-21,"07","21"
"M153/04","Cetacean","Harbour porpoise","Single",153,"Phocoena phocoena","Harbour porpoise","2004-07-23","Exact",56.55426407,-2.583966494,"M",86,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-07-23,"07","23"
"M175/04","Cetacean","Harbour porpoise","Single",175,"Phocoena phocoena","Harbour porpoise","2004-08-06","Exact",56.00534439,-3.525056839,"U",150,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-08-06,"08","06"
"M171/04","Cetacean","Harbour porpoise","Single",171,"Phocoena phocoena","Harbour porpoise","2004-08-08","Exact",56.00482559,-5.461271286,"M",118,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-08-08,"08","08"
"M179/04","Cetacean","Harbour porpoise","Single",179,"Phocoena phocoena","Harbour porpoise","2004-08-15","Exact",57.70143127,-2.89426589,"U",120,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-08-15,"08","15"
"M180/04","Cetacean","Harbour porpoise","Single",180,"Phocoena phocoena","Harbour porpoise","2004-08-17","Exact",57.5905304,-4.075994492,"U",NA,TRUE,"freshly dead- died on beach (code 2a)","not necropsied","2004","Modern",2004-08-17,"08","17"
"M187/04","Cetacean","Harbour porpoise","Single",187,"Phocoena phocoena","Harbour porpoise","2004-08-29","Exact",55.3220787,-5.565465927,"U",100,TRUE,"moderate decomposition (code 3)","not necropsied","2004","Modern",2004-08-29,"08","29"
"M186/04","Cetacean","Harbour porpoise","Single",186,"Phocoena phocoena","Harbour porpoise","2004-09-02","Exact",54.93108368,-4.993616104,"F",124,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-09-02,"09","02"
"M188/04","Cetacean","Harbour porpoise","Single",188,"Phocoena phocoena","Harbour porpoise","2004-09-04","Exact",56.19950485,-5.069181442,"U",120,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-09-04,"09","04"
"M194/04","Cetacean","Harbour porpoise","Single",194,"Phocoena phocoena","Harbour porpoise","2004-09-15","Exact",56.76066208,-2.418688297,"M",93,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-09-15,"09","15"
"M199/04","Cetacean","Harbour porpoise","Single",199,"Phocoena phocoena","Harbour porpoise","2004-09-28","Exact",57.34428787,-5.593118191,"M",154,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-09-28,"09","28"
"M202/04","Cetacean","Harbour porpoise","Single",202,"Phocoena phocoena","Harbour porpoise","2004-10-04","Exact",55.67763519,-6.509788513,"M",93,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-10-04,"10","04"
"M206/04","Cetacean","Harbour porpoise","Single",206,"Phocoena phocoena","Harbour porpoise","2004-10-10","Exact",57.68860245,-2.929170609,"M",101,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-10-10,"10","10"
"M207/04","Cetacean","Harbour porpoise","Single",207,"Phocoena phocoena","Harbour porpoise","2004-10-12","Exact",58.6099472,-3.44234252,"F",138,FALSE,"moderate decomposition (code 3)","necropsied","2004","Modern",2004-10-12,"10","12"
"M210/04","Cetacean","Harbour porpoise","Single",210,"Phocoena phocoena","Harbour porpoise","2004-10-14","Exact",55.51396942,-4.627419472,"U",140,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-10-14,"10","14"
"M221/04","Cetacean","Harbour porpoise","Single",221,"Phocoena phocoena","Harbour porpoise","2004-10-28","Exact",56.15028381,-3.071995258,"U",150,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-10-28,"10","28"
"M225/04","Cetacean","Harbour porpoise","Single",225,"Phocoena phocoena","Harbour porpoise","2004-11-01","Exact",57.26802826,-2.024826527,"U",120,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-11-01,"11","01"
"M228/04","Cetacean","Harbour porpoise","Single",228,"Phocoena phocoena","Harbour porpoise","2004-11-06","Exact",55.99884796,-4.852722645,"F",99,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2004","Modern",2004-11-06,"11","06"
"M234/04","Cetacean","Harbour porpoise","Single",234,"Phocoena phocoena","Harbour porpoise","2004-11-16","Exact",57.38271713,-6.073022366,"M",135,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-11-16,"11","16"
"M240/04","Cetacean","Harbour porpoise","Single",240,"Phocoena phocoena","Harbour porpoise","2004-11-29","Exact",54.75267029,-4.58097744,"U",160,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-11-29,"11","29"
"M247/04","Cetacean","Harbour porpoise","Single",247,"Phocoena phocoena","Harbour porpoise","2004-12-13","Exact",57.32282639,-1.97340107,"F",106,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-12-13,"12","13"
"M248/04","Cetacean","Harbour porpoise","Single",248,"Phocoena phocoena","Harbour porpoise","2004-12-15","Exact",56.64714813,-2.503863096,"F",167,FALSE,"Slight decomposition (code 2b)","necropsied","2004","Modern",2004-12-15,"12","15"
"M254/04","Cetacean","Harbour porpoise","Single",254,"Phocoena phocoena","Harbour porpoise","2004-12-19","Exact",56.79598618,-2.324135542,"U",120,TRUE,"advanced decomposition (code 4)","not necropsied","2004","Modern",2004-12-19,"12","19"
"M1/05","Cetacean","Harbour porpoise","Single",1,"Phocoena phocoena","Harbour porpoise","2005-01-02","Exact",55.87667084,-5.315510273,"F",118,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-01-02,"01","02"
"M6/05","Cetacean","Harbour porpoise","Single",6,"Phocoena phocoena","Harbour porpoise","2005-01-11","Exact",57.38271713,-6.073022366,"U",100,TRUE,"advanced decomposition (code 4)","not necropsied","2005","Modern",2005-01-11,"01","11"
"M10/05","Cetacean","Harbour porpoise","Single",10,"Phocoena phocoena","Harbour porpoise","2005-01-20","Exact",57.57132721,-4.041464329,"M",140,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2005","Modern",2005-01-20,"01","20"
"M15/05","Cetacean","Harbour porpoise","Single",15,"Phocoena phocoena","Harbour porpoise","2005-01-23","Exact",54.77511978,-4.361592293,"M",155,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-01-23,"01","23"
"M14/05","Cetacean","Harbour porpoise","Single",14,"Phocoena phocoena","Harbour porpoise","2005-01-23","Exact",56.21419525,-5.092946053,"U",120,TRUE,"advanced decomposition (code 4)","not necropsied","2005","Modern",2005-01-23,"01","23"
"M22/05","Cetacean","Harbour porpoise","Single",22,"Phocoena phocoena","Harbour porpoise","2005-02-02","Exact",54.95673752,-3.583472013,"M",94,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2005","Modern",2005-02-02,"02","02"
"M27/05","Cetacean","Harbour porpoise","Single",27,"Phocoena phocoena","Harbour porpoise","2005-02-05","Exact",55.44063568,-5.109600544,"M",127,TRUE,"advanced decomposition (code 4)","not necropsied","2005","Modern",2005-02-05,"02","05"
"M29/05","Cetacean","Harbour porpoise","Single",29,"Phocoena phocoena","Harbour porpoise","2005-02-08","Exact",57.67763138,-1.951333165,"F",165,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2005","Modern",2005-02-08,"02","08"
"M36/05","Cetacean","Harbour porpoise","Single",36,"Phocoena phocoena","Harbour porpoise","2005-02-15","Exact",55.75460815,-4.917757034,"F",100,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-02-15,"02","15"
"M35/05","Cetacean","Harbour porpoise","Single",35,"Phocoena phocoena","Harbour porpoise","2005-02-15","Exact",55.98986435,-3.389774799,"F",117,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-02-15,"02","15"
"M38/05","Cetacean","Harbour porpoise","Single",38,"Phocoena phocoena","Harbour porpoise","2005-02-16","Exact",56.74715424,-2.429985762,"M",160,TRUE,"Slight decomposition (code 2b)","sampled","2005","Modern",2005-02-16,"02","16"
"M40/05","Cetacean","Harbour porpoise","Single",40,"Phocoena phocoena","Harbour porpoise","2005-02-19","Exact",55.94503403,-4.924052238,"F",106,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-02-19,"02","19"
"M43/05","Cetacean","Harbour porpoise","Single",43,"Phocoena phocoena","Harbour porpoise","2005-02-21","Exact",57.67191696,-2.558234453,"M",158,FALSE,"moderate decomposition (code 3)","necropsied","2005","Modern",2005-02-21,"02","21"
"M47/05","Cetacean","Harbour porpoise","Single",47,"Phocoena phocoena","Harbour porpoise","2005-02-25","Exact",55.98105621,-3.291700602,"F",127,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2005","Modern",2005-02-25,"02","25"
"M48/05","Cetacean","Harbour porpoise","Single",48,"Phocoena phocoena","Harbour porpoise","2005-02-27","Exact",58.6469841,-3.340472698,"M",97,FALSE,"moderate decomposition (code 3)","necropsied","2005","Modern",2005-02-27,"02","27"
"M50/05","Cetacean","Harbour porpoise","Single",50,"Phocoena phocoena","Harbour porpoise","2005-02-28","Exact",56.66469193,-5.946133614,"F",93,FALSE,"freshly dead- died on beach (code 2a)","necropsied","2005","Modern",2005-02-28,"02","28"
"M55/05","Cetacean","Harbour porpoise","Single",55,"Phocoena phocoena","Harbour porpoise","2005-03-12","Exact",57.98384857,-3.917714357,"F",170,FALSE,"moderate decomposition (code 3)","necropsied","2005","Modern",2005-03-12,"03","12"
"M57/05","Cetacean","Harbour porpoise","Single",57,"Phocoena phocoena","Harbour porpoise","2005-03-12","Exact",56.8149147,-5.119360924,"M",113,FALSE,"moderate decomposition (code 3)","necropsied","2005","Modern",2005-03-12,"03","12"
"M58/05","Cetacean","Harbour porpoise","Single",58,"Phocoena phocoena","Harbour porpoise","2005-03-12","Exact",57.30293274,-5.716990471,"M",110,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-03-12,"03","12"
"M63/05","Cetacean","Harbour porpoise","Single",63,"Phocoena phocoena","Harbour porpoise","2005-03-13","Exact",58.46216965,-5.056520462,"M",111,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-03-13,"03","13"
"M60/05","Cetacean","Harbour porpoise","Single",60,"Phocoena phocoena","Harbour porpoise","2005-03-14","Exact",57.26863098,-5.781571865,"U",100,TRUE,"advanced decomposition (code 4)","not necropsied","2005","Modern",2005-03-14,"03","14"
"M68/05","Cetacean","Harbour porpoise","Single",68,"Phocoena phocoena","Harbour porpoise","2005-03-16","Exact",57.67372894,-2.995849609,"U",120,TRUE,"advanced decomposition (code 4)","not necropsied","2005","Modern",2005-03-16,"03","16"
"M69/05","Cetacean","Harbour porpoise","Single",69,"Phocoena phocoena","Harbour porpoise","2005-03-17","Exact",55.68723679,-4.877728462,"M",104,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-03-17,"03","17"
"M70/05","Cetacean","Harbour porpoise","Single",70,"Phocoena phocoena","Harbour porpoise","2005-03-17","Exact",55.98467255,-4.843662262,"F",160,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-03-17,"03","17"
"M223/05","Cetacean","Harbour porpoise","Single",223,"Phocoena phocoena","Harbour porpoise","2005-03-21","Exact",58.80282974,-2.991662741,"U",147,TRUE,"moderate decomposition (code 3)","sampled","2005","Modern",2005-03-21,"03","21"
"M72/05","Cetacean","Harbour porpoise","Single",72,"Phocoena phocoena","Harbour porpoise","2005-03-21","Exact",56.02775574,-3.455321789,"F",132,FALSE,"moderate decomposition (code 3)","necropsied","2005","Modern",2005-03-21,"03","21"
"M75/05","Cetacean","Harbour porpoise","Single",75,"Phocoena phocoena","Harbour porpoise","2005-03-24","Exact",55.64044189,-6.109520435,"F",152,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-03-24,"03","24"
"M73/05","Cetacean","Harbour porpoise","Single",73,"Phocoena phocoena","Harbour porpoise","2005-03-24","Exact",56.02729797,-4.866071224,"M",98.5,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-03-24,"03","24"
"M74/05","Cetacean","Harbour porpoise","Single",74,"Phocoena phocoena","Harbour porpoise","2005-03-24","Exact",57.6685257,-3.518774509,"F",98,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-03-24,"03","24"
"M77/05","Cetacean","Harbour porpoise","Single",77,"Phocoena phocoena","Harbour porpoise","2005-03-24","Exact",56.47409058,-5.711852074,"M",104,FALSE,"Slight decomposition (code 2b)","necropsied","2005","Modern",2005-03-24,"03","24"
"M76/05","Cetacean","Harbour porpoise","Single",76,"Phocoena phocoena","Harbour porpoise","2005-03-25","Exact",56.42815781,-2.804155827,"U",NA,TRUE,"advanced decomposition (code 4)","not necropsied","2005","Modern",2005-03-25,"03","25"
